d,algorithm,n_seeds,ndcg_mean,ndcg_std,ndcg_ci95_low,ndcg_ci95_high,gh_mean,gh_std,gh_ci95_low,gh_ci95_high
26,knni td,20,0.713,0.0,0.713,0.713,0.23899999999999996,0.0,0.23899999999999996,0.23899999999999996
26,knnu,20,0.8379999999999999,0.0,0.8379999999999999,0.8379999999999999,0.23400000000000004,0.0,0.23400000000000004,0.23400000000000004
26,knnu mmr,20,0.64645,0.0011459310165698668,0.6459477735884871,0.6469522264115128,0.1571,0.0004472135954999636,0.156904,0.157296
26,knnu td,20,0.591,0.0,0.591,0.591,0.236,0.0,0.236,0.236
26,svd,20,0.8,0.0,0.8,0.8,0.242,0.0,0.242,0.242
26,svd mmr,20,0.57975,0.0009104654680003368,0.5793509709151875,0.5801490290848125,0.22200000000000003,0.0,0.22200000000000003,0.22200000000000003
26,svd td,20,0.726,0.0,0.726,0.726,0.255,0.0,0.255,0.255
27,knni,20,0.778,0.0,0.778,0.778,0.24100000000000002,0.0,0.24100000000000002,0.24100000000000002
27,knni mmr,20,0.7867,0.007469939758793238,0.7834261545546559,0.789973845445344,0.16185,0.000366347548532524,0.1616894411077058,0.16201055889229418
27,knni td,20,0.713,0.0,0.713,0.713,0.23899999999999996,0.0,0.23899999999999996,0.23899999999999996
27,knnu,20,0.8379999999999999,0.0,0.8379999999999999,0.8379999999999999,0.23400000000000004,0.0,0.23400000000000004,0.23400000000000004
27,knnu mmr,20,0.6593500000000001,0.008671034661749625,0.65554975150397,0.6631502484960302,0.15855000000000002,0.0006048053188293015,0.1582849323820131,0.15881506761798694
27,knnu td,20,0.591,0.0,0.591,0.591,0.236,0.0,0.236,0.236
27,svd,20,0.8,0.0,0.8,0.8,0.242,0.0,0.242,0.242
27,svd mmr,20,0.5768,0.0008335087534664793,0.5764346986824119,0.577165301317588,0.22164999999999999,0.0004893604849295929,0.22143552831127825,0.22186447168872173
27,svd td,20,0.726,0.0,0.726,0.726,0.255,0.0,0.255,0.255
28,knni,20,0.778,0.0,0.778,0.778,0.24100000000000002,0.0,0.24100000000000002,0.24100000000000002
28,knni mmr,20,0.7601,0.005427997595314212,0.7577210751654537,0.7624789248345463,0.1611,0.0004472135954999626,0.160904,0.161296
28,knni td,20,0.713,0.0,0.713,0.713,0.23899999999999996,0.0,0.23899999999999996,0.23899999999999996
28,knnu,20,0.8379999999999999,0.0,0.8379999999999999,0.8379999999999999,0.23400000000000004,0.0,0.23400000000000004,0.23400000000000004
28,knnu mmr,20,0.657,0.007532386215885612,0.6536987861881455,0.6603012138118546,0.1574,0.0006805570473787218,0.15710173272318095,0.15769826727681907
28,knnu td,20,0.591,0.0,0.591,0.591,0.236,0.0,0.236,0.236
28,svd,20,0.8,0.0,0.8,0.8,0.242,0.0,0.242,0.242
28,svd mmr,20,0.5763499999999999,0.0009333020044867151,0.5759409623617884,0.5767590376382115,0.22115,0.000366347548532525,0.22098944110770583,0.2213105588922942
28,svd td,20,0.726,0.0,0.726,0.726,0.255,0.0,0.255,0.255
29,knni,20,0.778,0.0,0.778,0.778,0.24100000000000002,0.0,0.24100000000000002,0.24100000000000002
29,knni mmr,20,0.74505,0.005539095499029467,0.7426223843623402,0.7474776156376598,0.1599,0.0003077935056255482,0.15976510354848408,0.1600348964515159
29,knni td,20,0.713,0.0,0.713,0.713,0.23899999999999996,0.0,0.23899999999999996,0.23899999999999996
29,knnu,20,0.8379999999999999,0.0,0.8379999999999999,0.8379999999999999,0.23400000000000004,0.0,0.23400000000000004,0.23400000000000004
29,knnu mmr,20,0.6761,0.0085587751214147,0.6723489514167791,0.679851048583221,0.1567,0.0005712405705774776,0.15644964278152587,0.15695035721847414
29,knnu td,20,0.591,0.0,0.591,0.591,0.236,0.0,0.236,0.236
29,svd,20,0.8,0.0,0.8,0.8,0.242,0.0,0.242,0.242
29,svd mmr,20,0.57555,0.001431782106327642,0.5749224938247316,0.5761775061752684,0.22215,0.00036634754853252414,0.2219894411077058,0.22231055889229417
29,svd td,20,0.726,0.0,0.726,0.726,0.255,0.0,0.255,0.255
30,knni,20,0.778,0.0,0.778,0.778,0.24100000000000002,0.0,0.24100000000000002,0.24100000000000002
30,knni mmr,20,0.75725,0.005865824301566001,0.7546791891510551,0.7598208108489448,0.1603,0.0005712405705774824,0.16004964278152586,0.16055035721847413
30,knni td,20,0.713,0.0,0.713,0.713,0.23899999999999996,0.0,0.23899999999999996,0.23899999999999996
30,knnu,20,0.8379999999999999,0.0,0.8379999999999999,0.8379999999999999,0.23400000000000004,0.0,0.23400000000000004,0.23400000000000004
30,knnu mmr,20,0.6950999999999999,0.003878415303079059,0.6934002095485186,0.6967997904514813,0.1563,0.0006569466853317911,0.15601208042058495,0.15658791957941504
30,knnu td,20,0.591,0.0,0.591,0.591,0.236,0.0,0.236,0.236
30,svd,20,0.8,0.0,0.8,0.8,0.242,0.0,0.242,0.242
30,svd mmr,20,0.58515,0.002476733842445692,0.5840645235341589,0.586235476465841,0.22290000000000001,0.0003077935056255542,0.2227651035484841,0.22303489645151592
30,svd td,20,0.726,0.0,0.726,0.726,0.255,0.0,0.255,0.255
31,knni,20,0.778,0.0,0.778,0.778,0.24100000000000002,0.0,0.24100000000000002,0.24100000000000002
31,knni mmr,20,0.7546,0.008375402582625665,0.7509293179753191,0.758270682024681,0.15935000000000002,0.0004893604849295942,0.15913552831127828,0.15956447168872176
31,knni td,20,0.713,0.0,0.713,0.713,0.23899999999999996,0.0,0.23899999999999996,0.23899999999999996
31,knnu,20,0.8379999999999999,0.0,0.8379999999999999,0.8379999999999999,0.23400000000000004,0.0,0.23400000000000004,0.23400000000000004
31,knnu mmr,20,0.677,0.01051314966075693,0.6723924090093801,0.68160759099062,0.15394999999999998,0.0008870412083230217,0.15356123704963182,0.15433876295036814
31,knnu td,20,0.591,0.0,0.591,0.591,0.236,0.0,0.236,0.236
31,svd,20,0.8,0.0,0.8,0.8,0.242,0.0,0.242,0.242
31,svd mmr,20,0.5885,0.0028377159087807444,0.5872563161681182,0.5897436838318818,0.223,0.0,0.223,0.223
31,svd td,20,0.726,0.0,0.726,0.726,0.255,0.0,0.255,0.255
32,knni,20,0.778,0.0,0.778,0.778,0.24100000000000002,0.0,0.24100000000000002,0.24100000000000002
32,knni mmr,20,0.74675,0.0032097712658299238,0.7453432557184463,0.7481567442815538,0.15825,0.0005501196042201773,0.15800889945316485,0.15849110054683516
32,knni td,20,0.713,0.0,0.713,0.713,0.23899999999999996,0.0,0.23899999999999996,0.23899999999999996
32,knnu,20,0.8379999999999999,0.0,0.8379999999999999,0.8379999999999999,0.23400000000000004,0.0,0.23400000000000004,0.23400000000000004
32,knnu mmr,20,0.6808000000000001,0.006526061115574246,0.6779398276091706,0.6836601723908295,0.15485,0.0006708203932499367,0.154556,0.15514399999999998
32,knnu td,20,0.591,0.0,0.591,0.591,0.236,0.0,0.236,0.236
32,svd,20,0.8,0.0,0.8,0.8,0.242,0.0,0.242,0.242
32,svd mmr,20,0.58945,0.0032195946132524615,0.588038950446616,0.590861049553384,0.22285,0.0005871429486124017,0.22259267325706103,0.22310732674293896
32,svd td,20,0.726,0.0,0.726,0.726,0.255,0.0,0.255,0.255
33,knni,20,0.778,0.0,0.778,0.778,0.24100000000000002,0.0,0.24100000000000002,0.24100000000000002
33,knni mmr,20,0.7545499999999999,0.007067159036140699,0.7514526809895279,0.757647319010472,0.15875,0.00044426165831932076,0.15855529374351143,0.15894470625648857
33,knni td,20,0.713,0.0,0.713,0.713,0.23899999999999996,0.0,0.23899999999999996,0.23899999999999996
33,knnu,20,0.8379999999999999,0.0,0.8379999999999999,0.8379999999999999,0.23400000000000004,0.0,0.23400000000000004,0.23400000000000004
33,knnu mmr,20,0.6936,0.01288573262423044,0.6879525786788174,0.6992474213211826,0.15389999999999998,0.0007880689256524136,0.15355461356501204,0.15424538643498792
33,knnu td,20,0.591,0.0,0.591,0.591,0.236,0.0,0.236,0.236
33,svd,20,0.8,0.0,0.8,0.8,0.242,0.0,0.242,0.242
